Species,Year,Area_name,Stratum.SampleUnit,Stratum.SampleSize,Stratum.PosSampleSize,Stratum.Abundance,Stratum.MeanDensity,Stratum.VarDensity,Stratum.SDDensity,Stratum.CVDensity,Stratum.SE,Stratum.UpperCI,Stratum.LowerCI
S.melops,1989,Søgne-Grimstad,area1a,14,13,1615,1.79,0.09,0.30,0.17,0.08,1.94,1.63
S.melops,1989,Arendal-Risør,area1b,11,11,1393,2.27,0.18,0.43,0.19,0.13,2.53,2.02
S.melops,1989,Kragerø-Larvik,area2,7,7,2755,2.57,0.71,0.84,0.33,0.32,3.19,1.95
S.melops,1989,Ytre Oslofjord,area3,17,17,6500,8.00,2.58,1.61,0.20,0.39,8.76,7.24
S.melops,1989,Indre Oslofjord,area4,10,10,2986,2.80,1.57,1.25,0.45,0.40,3.58,2.02
S.melops,1990,Søgne-Grimstad,area1a,18,18,6280,6.94,2.73,1.65,0.24,0.39,7.71,6.18
S.melops,1990,Arendal-Risør,area1b,20,20,4690,7.65,3.34,1.83,0.24,0.41,8.45,6.85
S.melops,1990,Kragerø-Larvik,area2,14,14,5587,5.21,3.77,1.94,0.37,0.52,6.23,4.20
S.melops,1990,Ytre Oslofjord,area3,20,20,17590,21.65,16.43,4.05,0.19,0.91,23.43,19.87
S.melops,1990,Indre Oslofjord,area4,18,18,9123,8.56,4.90,2.21,0.26,0.52,9.58,7.53
S.melops,1991,Søgne-Grimstad,area1a,23,23,8808,9.74,3.79,1.95,0.20,0.41,10.53,8.94
S.melops,1991,Arendal-Risør,area1b,21,21,6043,9.86,2.97,1.72,0.17,0.38,10.59,9.12
S.melops,1991,Kragerø-Larvik,area2,18,18,9107,8.50,2.36,1.54,0.18,0.36,9.21,7.79
S.melops,1991,Ytre Oslofjord,area3,21,21,11800,14.52,9.18,3.03,0.21,0.66,15.82,13.23
S.melops,1991,Indre Oslofjord,area4,17,17,8154,7.65,1.62,1.27,0.17,0.31,8.25,7.04
S.melops,1992,Søgne-Grimstad,area1a,20,19,5788,6.40,2.47,1.57,0.25,0.35,7.09,5.71
S.melops,1992,Arendal-Risør,area1b,23,23,3785,6.17,1.11,1.06,0.17,0.22,6.61,5.74
S.melops,1992,Kragerø-Larvik,area2,13,13,5687,5.31,2.15,1.46,0.28,0.41,6.10,4.51
S.melops,1992,Ytre Oslofjord,area3,22,22,15621,19.23,15.89,3.99,0.21,0.85,20.89,17.56
S.melops,1992,Indre Oslofjord,area4,18,18,7760,7.28,3.87,1.97,0.27,0.46,8.19,6.37
S.melops,1993,Søgne-Grimstad,area1a,20,20,4929,5.45,1.71,1.31,0.24,0.29,6.02,4.88
S.melops,1993,Arendal-Risør,area1b,12,12,2656,4.33,1.26,1.12,0.26,0.32,4.97,3.70
S.melops,1993,Kragerø-Larvik,area2,12,12,5268,4.92,1.28,1.13,0.23,0.33,5.56,4.28
S.melops,1993,Ytre Oslofjord,area3,18,18,8486,10.44,9.20,3.03,0.29,0.72,11.85,9.04
S.melops,1993,Indre Oslofjord,area4,10,10,5331,5.00,1.51,1.23,0.25,0.39,5.76,4.24
S.melops,1994,Søgne-Grimstad,area1a,22,22,9208,10.18,2.93,1.71,0.17,0.36,10.90,9.47
S.melops,1994,Arendal-Risør,area1b,23,23,3998,6.52,1.23,1.11,0.17,0.23,6.97,6.07
S.melops,1994,Kragerø-Larvik,area2,18,18,6548,6.11,1.29,1.14,0.19,0.27,6.64,5.59
S.melops,1994,Ytre Oslofjord,area3,23,23,21406,26.35,27.54,5.25,0.20,1.09,28.49,24.20
S.melops,1994,Indre Oslofjord,area4,12,12,10396,9.75,16.26,4.03,0.41,1.16,12.03,7.47
S.melops,1995,Søgne-Grimstad,area1a,23,23,5426,6.00,0.94,0.97,0.16,0.20,6.40,5.60
S.melops,1995,Arendal-Risør,area1b,18,18,3406,5.56,0.96,0.98,0.18,0.23,6.01,5.10
S.melops,1995,Kragerø-Larvik,area2,18,18,5417,5.06,1.82,1.35,0.27,0.32,5.68,4.43
S.melops,1995,Ytre Oslofjord,area3,20,20,17590,21.65,42.20,6.50,0.30,1.45,24.50,18.80
S.melops,1995,Indre Oslofjord,area4,6,6,3199,3.00,0.73,0.86,0.29,0.35,3.69,2.31
S.melops,1996,Søgne-Grimstad,area1a,21,21,4134,4.57,0.78,0.89,0.19,0.19,4.95,4.19
S.melops,1996,Arendal-Risør,area1b,22,22,4291,7.00,1.64,1.28,0.18,0.27,7.53,6.47
S.melops,1996,Kragerø-Larvik,area2,17,17,5231,4.88,1.84,1.36,0.28,0.33,5.53,4.24
S.melops,1996,Ytre Oslofjord,area3,20,20,5768,7.10,1.78,1.34,0.19,0.30,7.69,6.51
S.melops,1996,Indre Oslofjord,area4,12,12,4265,4.00,2.91,1.71,0.43,0.49,4.97,3.03
S.melops,1997,Søgne-Grimstad,area1a,23,23,8296,9.17,4.10,2.02,0.22,0.42,10.00,8.35
S.melops,1997,Arendal-Risør,area1b,26,26,7781,12.69,4.11,2.03,0.16,0.40,13.47,11.91
S.melops,1997,Kragerø-Larvik,area2,15,15,7643,7.13,4.92,2.22,0.31,0.57,8.26,6.01
S.melops,1997,Ytre Oslofjord,area3,22,22,34640,42.64,41.59,6.45,0.15,1.37,45.33,39.94
S.melops,1997,Indre Oslofjord,area4,10,10,4478,4.20,2.24,1.50,0.36,0.47,5.13,3.27
S.melops,1998,Søgne-Grimstad,area1a,11,11,3371,3.73,1.55,1.24,0.33,0.38,4.46,2.99
S.melops,1998,Arendal-Risør,area1b,10,10,1349,2.20,0.26,0.51,0.23,0.16,2.52,1.88
S.melops,1998,Kragerø-Larvik,area2,8,8,6563,6.13,5.05,2.25,0.37,0.79,7.68,4.57
S.melops,1998,Ytre Oslofjord,area3,21,21,14121,17.38,8.32,2.88,0.17,0.63,18.61,16.15
S.melops,1998,Indre Oslofjord,area4,10,10,3945,3.70,1.82,1.35,0.36,0.43,4.54,2.86
S.melops,1999,Søgne-Grimstad,area1a,22,22,19320,21.36,24.34,4.93,0.23,1.05,23.43,19.30
S.melops,1999,Arendal-Risør,area1b,24,24,7944,12.96,5.27,2.30,0.18,0.47,13.88,12.04
S.melops,1999,Kragerø-Larvik,area2,18,18,14048,13.11,9.62,3.10,0.24,0.73,14.54,11.68
S.melops,1999,Ytre Oslofjord,area3,20,20,63737,78.45,479.33,21.89,0.28,4.90,88.05,68.85
S.melops,1999,Indre Oslofjord,area4,15,15,7464,7.00,2.64,1.62,0.23,0.42,7.82,6.18
S.melops,2000,Søgne-Grimstad,area1a,19,19,11471,12.68,7.46,2.73,0.22,0.63,13.91,11.46
S.melops,2000,Arendal-Risør,area1b,24,24,6028,9.83,4.40,2.10,0.21,0.43,10.67,8.99
S.melops,2000,Kragerø-Larvik,area2,14,14,13470,12.57,11.48,3.39,0.27,0.91,14.35,10.80
S.melops,2000,Ytre Oslofjord,area3,27,27,27593,33.96,31.10,5.58,0.16,1.07,36.07,31.86
S.melops,2000,Indre Oslofjord,area4,16,16,6798,6.38,1.46,1.21,0.19,0.30,6.97,5.78
S.melops,2001,Søgne-Grimstad,area1a,23,23,8454,9.35,3.30,1.82,0.19,0.38,10.09,8.61
S.melops,2001,Arendal-Risør,area1b,26,26,5258,8.58,2.98,1.73,0.20,0.34,9.24,7.91
S.melops,2001,Kragerø-Larvik,area2,21,21,14898,13.90,11.15,3.34,0.24,0.73,15.33,12.48
S.melops,2001,Ytre Oslofjord,area3,29,29,17230,21.21,14.33,3.79,0.18,0.70,22.58,19.83
S.melops,2001,Indre Oslofjord,area4,22,22,11535,10.82,3.36,1.83,0.17,0.39,11.58,10.05
S.melops,2002,Søgne-Grimstad,area1a,20,20,9541,10.55,5.69,2.38,0.23,0.53,11.60,9.50
S.melops,2002,Arendal-Risør,area1b,25,25,9269,15.12,5.75,2.40,0.16,0.48,16.06,14.18
S.melops,2002,Kragerø-Larvik,area2,15,15,7929,7.40,2.12,1.46,0.20,0.38,8.14,6.66
S.melops,2002,Ytre Oslofjord,area3,27,27,37734,46.44,98.94,9.95,0.21,1.91,50.20,42.69
S.melops,2002,Indre Oslofjord,area4,20,20,13915,13.05,21.59,4.65,0.36,1.04,15.09,11.01
S.melops,2003,Søgne-Grimstad,area1a,23,23,18126,20.04,14.77,3.84,0.19,0.80,21.61,18.47
S.melops,2003,Arendal-Risør,area1b,25,25,15522,25.32,31.90,5.65,0.22,1.13,27.53,23.11
S.melops,2003,Kragerø-Larvik,area2,17,17,7626,7.12,2.73,1.65,0.23,0.40,7.90,6.33
S.melops,2003,Ytre Oslofjord,area3,27,27,30512,37.56,42.78,6.54,0.17,1.26,40.02,35.09
